Provinsi,PPSMSp,GPP,Hotel
Bangka Belitung,316.28,1033.89,202.64
Gorontalo,255.72,0,157.99
Riau,556.19,1075.7,335.23
Jakarta Raya,5570.8,4751.26,1806.33
Kepulauan Riau,388.69,1006.79,358.13
Sulawesi Selatan,404.78,1105.54,308.86
Sumatera Selatan,426.73,1063.2,239.14
Kalimantan Barat,263.26,1053.31,289.88
Aceh,354.74,0,183.71
Bengkulu,277.65,0,126.91
Lampung,396.88,0,189.97
Jawa Tengah,799.54,1183.81,415.94
Nusa Tenggara Barat,299.02,0,219.09
Sumatera Utara,594.46,1344.33,277.83
Jambi,406.99,0,212.46
Banten,1062.11,1550,442.41
Jawa Timur,1137.62,1292.31,446.92
Yogyakarta,710.87,1054.42,424.52
Kalimantan Selatan,271.88,0,211.79
Sulawesi Utara,365.44,0,244.29
Kalimantan Utara,259.7,0,212.31
Sulawesi Barat,163.67,0,116.81
Maluku Utara,263.75,0,169.71
Kalimantan Tengah,234.31,1062.91,215.4
Nusa Tenggara Timur,202.75,0,116.33
Papua Barat,272.85,0,138.6
Jawa Barat,1152.29,1133.44,506.92
Sulawesi Tenggara,266.07,0,172.41
Sumatera Barat,456.4,1253.05,200.29
Papua,270.17,0,138.77
Kalimantan Timur,273.06,1112.37,284.8
Maluku,206.75,0,150.31
Bali,546.44,1147.8,467.97
Sulawesi Tengah,264.25,0,209.39
